,City,Pro,Expert,Expert+,Creator Count,location,coordinates,state,country,OSM_Search_Query
0,"London, UK",14436,1609,179,16224,"London, Greater London, England, United Kingdom","(51.5073219, -0.1276474, 0.0)",London, United Kingdom,"London,  United Kingdom"
1,"Los Angeles, CA",12629,2197,258,15084,"Los Angeles, Los Angeles County, California, United States","(34.0536909, -118.242766, 0.0)",Los Angeles, United States,"Los Angeles,  United States"
2,"New York, NY",8098,1268,191,9557,"New York, United States","(40.7127281, -74.0060152, 0.0)",New York, United States,"New York,  United States"
3,"Washington, D.C.",5664,804,92,6560,"Embassy of Hungary, 1500, Rhode Island Avenue Northwest, Dupont Circle, Washington, District of Columbia, 20005, United States","(38.9074322, -77.0350922, 0.0)",Washington D.C., United States,"Washington D.C.,  United States"
5,"Austin, TX",4635,800,98,5533,"Austin, Travis County, Texas, United States","(30.2711286, -97.7436995, 0.0)",Austin, United States,"Austin,  United States"
7,"Paris, France",3783,484,67,4334,"Paris, Ile-de-France, Metropolitan France, France","(48.8588897, 2.3200410217200766, 0.0)",Paris, France,"Paris,  France"
9,"Atlanta, GA",3527,364,40,3931,"Atlanta, Fulton County, Georgia, United States","(33.7489924, -84.3902644, 0.0)",Atlanta, United States,"Atlanta,  United States"
10,"Toronto, Canada",3537,250,15,3802,"Toronto, Golden Horseshoe, Ontario, Canada","(43.6534817, -79.3839347, 0.0)",Toronto, Canada,"Toronto,  Canada"
11,"San Francisco, CA",3358,387,40,3785,"San Francisco, California, United States","(37.7790262, -122.419906, 0.0)",San Francisco, United States,"San Francisco,  United States"
12,Madrid,3119,457,45,3621,"Madrid, Área metropolitana de Madrid y Corredor del Henares, Community of Madrid, Spain","(40.4167047, -3.7035825, 0.0)",Madrid, Spain,"Madrid,  Spain"
15,"Chicago, IL",2520,209,14,2743,"Chicago, Cook County, Illinois, United States","(41.8755616, -87.6244212, 0.0)",Chicago, United States,"Chicago,  United States"
17,"Ontario, Canada",2271,235,13,2519,"Ontario, Canada","(50.000678, -86.000977, 0.0)",Ontario, Canada,"Ontario,  Canada"
18,"Las Vegas, NV",2117,333,15,2465,"Las Vegas, Clark County, Nevada, United States","(36.1672559, -115.148516, 0.0)",Las Vegas, United States,"Las Vegas,  United States"
19,"Boston, MA",2220,195,11,2426,"Boston, Suffolk County, Massachusetts, United States","(42.3554334, -71.060511, 0.0)",Boston, United States,"Boston,  United States"
20,"Sao Paulo, Brasil",1861,461,57,2379,"São Paulo, Região Imediata de São Paulo, Região Metropolitana de São Paulo, Região Geográfica Intermediária de São Paulo, São Paulo, Southeast Region, Brazil","(-23.5506507, -46.6333824, 0.0)",São Paulo, Brazil,"São Paulo,  Brazil"
22,"Miami, FL",1815,380,41,2236,"Miami, Miami-Dade County, Florida, United States","(25.7741728, -80.19362, 0.0)",Miami, United States,"Miami,  United States"
24,Montreal,1851,277,19,2147,"Montreal, Urban agglomeration of Montreal, Montreal (06), Quebec, Canada","(45.5031824, -73.5698065, 0.0)",Montreal, Canada,"Montreal,  Canada"
25,"Houston, TX",1889,208,14,2111,"Houston, Harris County, Texas, United States","(29.7589382, -95.3676974, 0.0)",Houston, United States,"Houston,  United States"
27,"Buenos Aires, Argentina",1650,353,44,2047,"Buenos Aires, Comuna 6, Autonomous City of Buenos Aires, Argentina","(-34.6075682, -58.4370894, 0.0)",Buenos Aires, Argentina,"Buenos Aires,  Argentina"
